caldt,t30ret
19781229,0.007372
19790131,0.007882
19790228,0.007324
19790330,0.008928
19790430,0.008489
19790531,0.008161
19790629,0.007858
19790731,0.008410
19790831,0.007506
19790928,0.007732
19791031,0.009621
19791130,0.009878
19791231,0.010209
19800131,0.007968
19800229,0.010654
19800331,0.012009
19800430,0.012865
19800530,0.007883
19800630,0.006312
19800731,0.005281
19800829,0.005973
19800930,0.008698
19801031,0.008912
19801128,0.008895
19801231,0.014149
19810130,0.009957
19810227,0.010685
19810331,0.013157
19810430,0.010756
19810529,0.010646
19810630,0.015158
19810731,0.011915
19810831,0.012804
19810930,0.012794
19811030,0.011685
19811130,0.011030
19811231,0.008738
19820129,0.007306
19820226,0.009176
19820331,0.011077
19820430,0.011290
19820528,0.009592
19820630,0.010710
19820730,0.010210
19820831,0.008342
19820930,0.005118
19821029,0.005475
19821130,0.007201
19821231,0.006289
19830131,0.006864
19830228,0.006186
19830331,0.006326
19830429,0.006918
19830531,0.007584
19830630,0.006661
19830729,0.006917
19830831,0.008342
19830930,0.007607
19831031,0.007433
19831130,0.007199
19831230,0.007039
19840131,0.008083
19840229,0.007328
19840330,0.007280
19840430,0.008130
19840531,0.007898
19840629,0.007534
19840731,0.008755
19840831,0.007963
19840928,0.008293
19841031,0.009766
19841130,0.007334
19841231,0.006923
19850131,0.006474
19850228,0.006033
19850329,0.006160
19850430,0.007565
19850531,0.006062
19850628,0.005546
19850731,0.006196
19850830,0.005792
19850930,0.006049
19851031,0.006021
19851129,0.006156
19851231,0.006139
19860131,0.004865
19860228,0.005296
19860331,0.005963
19860430,0.005341
19860530,0.004934
19860630,0.005246
19860731,0.005011
19860829,0.004614
19860930,0.004783
19861031,0.004209
19861128,0.003924
19861231,0.004767
19870130,0.004151
19870227,0.004309
19870331,0.005012
19870430,0.004285
19870529,0.003760
19870630,0.005031
19870731,0.004058
19870831,0.004744
19870930,0.004820
19871030,0.006040
19871130,0.003366
19871231,0.002988
19880129,0.002762
19880229,0.004564
19880331,0.004402
19880429,0.004577
19880531,0.005051
19880630,0.004832
19880729,0.005060
19880831,0.005957
19880930,0.006145
19881031,0.006074
19881130,0.005742
19881230,0.006306
19890131,0.005766
19890228,0.006110
19890331,0.006213
19890428,0.006810
19890531,0.008006
19890630,0.007147
19890731,0.007040
19890831,0.006684
19890929,0.006387
19891031,0.006820
19891130,0.006340
19891229,0.005941
19900131,0.005852
19900228,0.005818
19900330,0.006380
19900430,0.006829
19900531,0.006404
19900629,0.005898
19900731,0.006704
19900831,0.006154
19900928,0.005984
19901031,0.006559
19901130,0.005651
19901231,0.005989
19910131,0.004637
19910228,0.004767
19910328,0.004391
19910430,0.005335
19910531,0.004461
19910628,0.004171
19910731,0.004840
19910830,0.004610
19910930,0.004558
19911031,0.004246
19911129,0.003915
19911231,0.003792
19920131,0.003059
19920228,0.002828
19920331,0.003376
19920430,0.003303
19920529,0.002758
19920630,0.003201
19920731,0.002892
19920831,0.002605
19920930,0.002573
19921030,0.002286
19921130,0.002346
19921231,0.002270
19930129,0.002335
19930226,0.002209
19930331,0.002538
19930430,0.002372
19930528,0.002168
19930630,0.002756
19930730,0.002402
19930831,0.002530
19930930,0.002356
19931029,0.002210
19931130,0.002477
19931231,0.002263
19940131,0.002503
19940228,0.002120
19940331,0.002469
19940429,0.002711
19940531,0.003150
19940630,0.003118
19940729,0.002751
19940831,0.003687
19940930,0.003659
19941031,0.003840
19941130,0.003691
19941230,0.004430
19950131,0.004156
19950228,0.003983
19950331,0.004134
19950428,0.004450
19950531,0.005355
19950630,0.004714
19950731,0.004522
19950831,0.004637
19950929,0.004309
19951031,0.004714
19951130,0.004108
19951229,0.004882
19960131,0.004278
19960229,0.003908
19960329,0.003943
19960430,0.004579
19960531,0.003982
19960628,0.004000
19960731,0.004497
19960830,0.004122
19960930,0.004375
19961031,0.004246
19961129,0.003941
19961231,0.004404
19970131,0.004014
19970228,0.003788
19970331,0.004310
