DATE,T10YFF
1963-01-01,0.94090909090909090909
1963-02-01,0.92111111111111111111
1963-03-01,0.95190476190476190476
1963-04-01,1.1014285714285714
1963-05-01,0.93000000000000000000
1963-06-01,1.00550000000000000000
1963-07-01,1.0540909090909091
1963-08-01,0.51863636363636363636
1963-09-01,0.60850000000000000000
1963-10-01,0.61130434782608695652
1963-11-01,0.65117647058823529412
1963-12-01,0.80095238095238095238
1964-01-01,0.67818181818181818182
1964-02-01,0.67333333333333333333
1964-03-01,0.82619047619047619048
1964-04-01,0.77681818181818181818
1964-05-01,0.70600000000000000000
1964-06-01,0.67000000000000000000
1964-07-01,0.79954545454545454545
1964-08-01,0.69380952380952380952
1964-09-01,0.77523809523809523810
1964-10-01,0.89619047619047619048
1964-11-01,0.63777777777777777778
1964-12-01,0.37272727272727272727
1965-01-01,0.33950000000000000000
1965-02-01,0.25222222222222222222
1965-03-01,0.17086956521739130435
1965-04-01,0.11714285714285714286
1965-05-01,0.12700000000000000000
1965-06-01,0.19772727272727272727
1965-07-01,0.13000000000000000000
1965-08-01,0.13409090909090909091
1965-09-01,0.33428571428571428571
1965-10-01,0.29600000000000000000
1965-11-01,0.35894736842105263158
1965-12-01,0.34636363636363636364
1966-01-01,0.28809523809523809524
1966-02-01,0.24263157894736842105
1966-03-01,0.22956521739130434783
1966-04-01,0.11150000000000000000
1966-05-01,-0.05714285714285714286
1966-06-01,-0.31772727272727272727
1966-07-01,-0.15800000000000000000
1966-08-01,-0.22304347826086956522
1966-09-01,-0.12857142857142857143
1966-10-01,-0.45100000000000000000
1966-11-01,-0.59473684210526315789
1966-12-01,-0.55000000000000000000
1967-01-01,-0.29000000000000000000
1967-02-01,-0.35944444444444444444
1967-03-01,0.04181818181818181818
1967-04-01,0.56200000000000000000
1967-05-01,0.92090909090909090909
1967-06-01,1.0559090909090909
1967-07-01,1.3775000000000000
1967-08-01,1.3939130434782609
1967-09-01,1.3075000000000000
1967-10-01,1.6100000000000000
1967-11-01,1.6145000000000000
1967-12-01,1.2030000000000000
1968-01-01,0.92409090909090909091
1968-02-01,0.87789473684210526316
1968-03-01,0.72095238095238095238
1968-04-01,-0.10050000000000000000
1968-05-01,-0.22363636363636363636
1968-06-01,-0.36500000000000000000
1968-07-01,-0.54090909090909090909
1968-08-01,-0.61045454545454545455
1968-09-01,-0.29150000000000000000
1968-10-01,-0.32173913043478260870
1968-11-01,-0.01388888888888888889
1968-12-01,0.12380952380952380952
1969-01-01,-0.26727272727272727273
1969-02-01,-0.35789473684210526316
1969-03-01,-0.45700000000000000000
1969-04-01,-1.2038095238095238
1969-05-01,-2.1538095238095238
1969-06-01,-2.0400000000000000
1969-07-01,-1.7214285714285714
1969-08-01,-2.3204761904761905
1969-09-01,-1.9000000000000000
1969-10-01,-1.7113636363636364
1969-11-01,-1.5764705882352941
1969-12-01,-1.2040909090909091
1970-01-01,-1.1642857142857143
1970-02-01,-1.7066666666666667
1970-03-01,-0.62380952380952380952
1970-04-01,-0.69500000000000000000
1970-05-01,0.04714285714285714286
1970-06-01,0.30136363636363636364
1970-07-01,0.34818181818181818182
1970-08-01,0.90571428571428571429
1970-09-01,1.1257142857142857
1970-10-01,1.1395238095238095
1970-11-01,1.2505882352941176
1970-12-01,1.5436363636363636
1971-01-01,1.9430000000000000
1971-02-01,2.4511111111111111
1971-03-01,1.9947826086956522
1971-04-01,1.6714285714285714
1971-05-01,1.7335000000000000
1971-06-01,1.6104545454545455
1971-07-01,1.4295238095238095
1971-08-01,1.01227272727272727273
1971-09-01,0.61666666666666666667
1971-10-01,0.72000000000000000000
1971-11-01,0.92050000000000000000
1971-12-01,1.8340909090909091
1972-01-01,2.4038095238095238
1972-02-01,2.7855000000000000
1972-03-01,2.2309090909090909
1972-04-01,2.0250000000000000
1972-05-01,1.8622727272727273
1972-06-01,1.6386363636363636
1972-07-01,1.5935000000000000
1972-08-01,1.3860869565217391
1972-09-01,1.7245000000000000
1972-10-01,1.3990000000000000
1972-11-01,1.2335000000000000
1972-12-01,1.03250000000000000000
1973-01-01,0.50909090909090909091
1973-02-01,0.09277777777777777778
1973-03-01,-0.33181818181818181818
1973-04-01,-0.46000000000000000000
1973-05-01,-0.97090909090909090909
1973-06-01,-1.5928571428571429
1973-07-01,-3.3014285714285714
1973-08-01,-3.0452173913043478
1973-09-01,-3.6221052631578947
1973-10-01,-3.1733333333333333
1973-11-01,-3.3800000000000000
1973-12-01,-3.1373684210526316
1974-01-01,-2.6409090909090909
1974-02-01,-2.0027777777777778
1974-03-01,-2.1266666666666667
1974-04-01,-2.9800000000000000
1974-05-01,-3.6886363636363636
1974-06-01,-4.3200000000000000
1974-07-01,-5.0745454545454545
1974-08-01,-3.9295454545454545
1974-09-01,-3.2675000000000000
1974-10-01,-2.1604545454545455
1974-11-01,-1.7188888888888889
1974-12-01,-0.99238095238095238095
1975-01-01,0.31545454545454545455
1975-02-01,1.2050000000000000
1975-03-01,2.2855000000000000
1975-04-01,2.7077272727272727
1975-05-01,2.8328571428571429
1975-06-01,2.3328571428571429
1975-07-01,1.9790909090909091
1975-08-01,2.2719047619047619
1975-09-01,2.2019047619047619
1975-10-01,2.3227272727272727
1975-11-01,2.8876470588235294
1975-12-01,2.8004545454545455
1976-01-01,2.9047619047619048
1976-02-01,3.0366666666666667
1976-03-01,2.8960869565217391
1976-04-01,2.7195238095238095
1976-05-01,2.6240000000000000
1976-06-01,2.3818181818181818
1976-07-01,2.5333333333333333
1976-08-01,2.4704545454545455
1976-09-01,2.3400000000000000
